|Sensor|Filename|Description|
|---|---|---|
|HW Main Meter Power|CEC_compiled_data_1a_updated.csv|No anomalies labelled|
|HW Main Meter Power|CEC_compiled_data_1b_updated.csv|Anomalies visually labelled|
|HW Main Meter Entering Water Temperature|CEC_compiled_data_2a_updated.csv|No anomalies labelled|
|HW Main Meter Entering Water Temperature|CEC_compiled_data_2b_updated.csv|"Anomalies visually labelled| periods in summer with distinct patterns labelled as anomalous data"|
|HW Main Meter Entering Water Temperature|CEC_compiled_data_2c_updated.csv|"Anomalies visually labelled| periods in summer with distinct patterns not labelled as anomalous data"|
|HW Main Meter Flow|CEC_compiled_data_3a_updated.csv|No anomalies labelled|
|HW Main Meter Flow|CEC_compiled_data_3b_updated.csv|Anomalies visually labelled|
|Boiler B-1 Gas Pressure|CEC_compiled_data_4a_updated.csv|No anomalies labelled|
|Boiler B-1 Gas Pressure|CEC_compiled_data_4b_updated.csv|"Anomalies visually labelled| patterns in winter labelled as anomalous data"|
|Boiler B-1 Gas Pressure|CEC_compiled_data_4c_updated.csv|"Anomalies visually labelled| patterns in winter labelled not labelled as anomalous data"|
|Boiler B-1 Exhaust O2|CEC_compiled_data_5a_updated.csv|No anomalies labelled|
|Boiler B-1 Exhaust O2|CEC_compiled_data_5b_updated.csv|Anomalies visually labelled|
