Timestamp,Campus Energy Centre Feeder 60L56 Apparent Power
2021-03-31T23:59:23-07:00 Los_Angeles,11372.9990234375kVA
2021-04-01T00:00:00-07:00 Los_Angeles,11269.439453125kVA
2021-04-01T00:01:05-07:00 Los_Angeles,11359.384765625kVA
2021-04-01T00:03:32-07:00 Los_Angeles,11263.908203125kVA
2021-04-01T00:04:32-07:00 Los_Angeles,11179.66015625kVA
2021-04-01T00:05:33-07:00 Los_Angeles,11260.921875kVA
2021-04-01T00:06:55-07:00 Los_Angeles,11194.9501953125kVA
2021-04-01T00:08:03-07:00 Los_Angeles,11123.931640625kVA
2021-04-01T00:09:12-07:00 Los_Angeles,11220.02734375kVA
2021-04-01T00:10:18-07:00 Los_Angeles,11089.3544921875kVA
2021-04-01T00:11:41-07:00 Los_Angeles,11166.8447265625kVA
2021-04-01T00:12:48-07:00 Los_Angeles,11237.38671875kVA
2021-04-01T00:30:00-07:00 Los_Angeles,11018.775390625kVA
2021-04-01T00:31:51-07:00 Los_Angeles,11111.1123046875kVA
2021-04-01T00:32:58-07:00 Los_Angeles,10986.556640625kVA
2021-04-01T00:35:39-07:00 Los_Angeles,11072.9208984375kVA
2021-04-01T00:36:46-07:00 Los_Angeles,11003.2236328125kVA
2021-04-01T00:38:07-07:00 Los_Angeles,11123.8798828125kVA
2021-04-01T00:42:21-07:00 Los_Angeles,11059.26953125kVA
2021-04-01T00:43:21-07:00 Los_Angeles,11135.2314453125kVA
2021-04-01T00:44:21-07:00 Los_Angeles,11071.66015625kVA
2021-04-01T00:45:00-07:00 Los_Angeles,11003.6103515625kVA
2021-04-01T00:46:00-07:00 Los_Angeles,10903.943359375kVA
2021-04-01T00:47:00-07:00 Los_Angeles,11088.318359375kVA
2021-04-01T00:48:00-07:00 Los_Angeles,11021.244140625kVA
2021-04-01T00:49:33-07:00 Los_Angeles,10888.4013671875kVA
2021-04-01T00:50:41-07:00 Los_Angeles,10967.8671875kVA
2021-04-01T00:51:41-07:00 Los_Angeles,10816.1337890625kVA
2021-04-01T00:52:57-07:00 Los_Angeles,10885.5341796875kVA
2021-04-01T00:58:32-07:00 Los_Angeles,10965.142578125kVA
2021-04-01T00:59:51-07:00 Los_Angeles,10826.4873046875kVA
2021-04-01T01:00:00-07:00 Los_Angeles,10826.4873046875kVA
2021-04-01T01:01:11-07:00 Los_Angeles,10986.880859375kVA
2021-04-01T01:04:50-07:00 Los_Angeles,10915.0517578125kVA
2021-04-01T01:05:50-07:00 Los_Angeles,10975.6005859375kVA
2021-04-01T01:06:56-07:00 Los_Angeles,10886.9716796875kVA
2021-04-01T01:08:18-07:00 Los_Angeles,10802.2578125kVA
2021-04-01T01:09:39-07:00 Los_Angeles,10880.73046875kVA
2021-04-01T01:10:47-07:00 Los_Angeles,10823.5830078125kVA
2021-04-01T01:11:47-07:00 Los_Angeles,10959.943359375kVA
2021-04-01T01:12:47-07:00 Los_Angeles,10853.3125kVA
2021-04-01T01:14:21-07:00 Los_Angeles,10951.935546875kVA
2021-04-01T01:15:00-07:00 Los_Angeles,10912.2197265625kVA
2021-04-01T01:16:25-07:00 Los_Angeles,10981.009765625kVA
2021-04-01T01:18:13-07:00 Los_Angeles,10894.0390625kVA
2021-04-01T01:19:20-07:00 Los_Angeles,10832.177734375kVA
2021-04-01T01:20:30-07:00 Los_Angeles,10890.40625kVA
2021-04-01T01:21:30-07:00 Los_Angeles,11003.5634765625kVA
2021-04-01T01:22:30-07:00 Los_Angeles,10943.615234375kVA
2021-04-01T01:23:30-07:00 Los_Angeles,10859.2578125kVA
2021-04-01T01:24:30-07:00 Los_Angeles,10780.091796875kVA
2021-04-01T01:25:30-07:00 Los_Angeles,10838.14453125kVA
2021-04-01T01:30:00-07:00 Los_Angeles,10834.751953125kVA
2021-04-01T01:31:00-07:00 Los_Angeles,10760.298828125kVA
2021-04-01T01:32:44-07:00 Los_Angeles,10832.4501953125kVA
2021-04-01T01:33:44-07:00 Los_Angeles,10997.181640625kVA
2021-04-01T01:34:44-07:00 Los_Angeles,10870.8154296875kVA
2021-04-01T01:37:12-07:00 Los_Angeles,10965.7216796875kVA
2021-04-01T01:38:12-07:00 Los_Angeles,10909.75390625kVA
2021-04-01T01:39:14-07:00 Los_Angeles,10854.2001953125kVA
