Timestamp,Campus Energy Centre Campus HW Main Meter Flow
2021-03-31T23:59:16-07:00 Los_Angeles,105L/s
2021-04-01T00:00:00-07:00 Los_Angeles,110L/s
2021-04-01T00:01:09-07:00 Los_Angeles,115L/s
2021-04-01T00:02:16-07:00 Los_Angeles,110L/s
2021-04-01T00:03:16-07:00 Los_Angeles,105L/s
2021-04-01T00:04:17-07:00 Los_Angeles,110L/s
2021-04-01T00:05:17-07:00 Los_Angeles,105L/s
2021-04-01T00:06:18-07:00 Los_Angeles,110L/s
2021-04-01T00:07:18-07:00 Los_Angeles,105L/s
2021-04-01T00:08:20-07:00 Los_Angeles,115L/s
2021-04-01T00:09:20-07:00 Los_Angeles,110L/s
2021-04-01T00:10:00-07:00 Los_Angeles,110L/s
2021-04-01T00:11:46-07:00 Los_Angeles,105.83333587646484L/s
2021-04-01T00:12:46-07:00 Los_Angeles,110L/s
2021-04-01T00:13:47-07:00 Los_Angeles,115L/s
2021-04-01T00:14:57-07:00 Los_Angeles,120L/s
2021-04-01T00:15:57-07:00 Los_Angeles,115L/s
2021-04-01T00:16:57-07:00 Los_Angeles,125L/s
2021-04-01T00:17:58-07:00 Los_Angeles,120L/s
2021-04-01T00:18:58-07:00 Los_Angeles,115L/s
2021-04-01T00:19:59-07:00 Los_Angeles,110L/s
2021-04-01T00:20:00-07:00 Los_Angeles,110L/s
2021-04-01T00:21:00-07:00 Los_Angeles,115L/s
2021-04-01T00:22:00-07:00 Los_Angeles,110L/s
2021-04-01T00:23:01-07:00 Los_Angeles,115L/s
2021-04-01T00:24:01-07:00 Los_Angeles,110L/s
2021-04-01T00:25:01-07:00 Los_Angeles,120L/s
2021-04-01T00:26:01-07:00 Los_Angeles,115L/s
2021-04-01T00:27:14-07:00 Los_Angeles,120L/s
2021-04-01T00:28:14-07:00 Los_Angeles,115L/s
2021-04-01T00:29:14-07:00 Los_Angeles,110L/s
2021-04-01T00:30:00-07:00 Los_Angeles,120L/s
2021-04-01T00:31:00-07:00 Los_Angeles,115L/s
2021-04-01T00:32:17-07:00 Los_Angeles,120L/s
2021-04-01T00:33:17-07:00 Los_Angeles,115L/s
2021-04-01T00:34:17-07:00 Los_Angeles,110L/s
2021-04-01T00:35:17-07:00 Los_Angeles,115L/s
